meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1264,9955,81,38,2025-06-29T14:03:23.841000+00:00,17.492,30.864,20.917,299.0,235,False,69.273,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2051]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",296
1264,9955,81,39,2025-06-29T14:04:33.099000+00:00,17.444,30.987,21.006,301.0,235,False,69.437,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2051]","[2048, 2048, 2051, 2048, 2049, 2048, 2048, 2048]",297
1264,9955,81,40,2025-06-29T14:05:42.607000+00:00,17.491,31.151,20.995,302.0,233,False,69.637,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]",296
1264,9955,81,41,2025-06-29T14:06:52.247000+00:00,17.496,31.248,20.993,300.0,230,False,69.737,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",294
1264,9955,81,42,2025-06-29T14:08:01.994000+00:00,17.618,31.165,21.017,299.0,235,False,69.8,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",298
1264,9955,81,43,2025-06-29T14:09:11.849000+00:00,17.53,31.252,21.321,,230,False,70.103,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",297
1264,9955,81,44,2025-06-29T14:10:21.833000+00:00,17.315,31.233,21.166,321.0,231,False,69.714,"[None, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",297
1264,9955,81,45,2025-06-29T14:11:31.619000+00:00,17.569,31.486,21.096,303.0,229,False,70.151,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",297
1264,9955,81,46,2025-06-29T14:12:41.758000+00:00,17.488,31.348,21.212,,230,False,70.048,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",301
1264,9955,81,47,2025-06-29T14:13:51.841000+00:00,17.568,30.916,20.987,305.0,232,False,69.471,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",316
